videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
5QWoxZDx_7Q,,,,,,,,,,,1632414857,,,20210923155902,cur
5eLCbNOhgsk,,,,,,,,,,,1632414873,,,20210923155902,cur
edSJhmQNLNc,,,,,,,,,,,1632414935,,,20210923155902,cur
3o6UKmgH6lc,,,,,,,,,,,1632414964,,,20210923155902,cur
uL133wEWJsI,,,,,,,,,,,1632414996,,,20210923155902,cur
-Bnwmr0lXqI,,,,,,,,,,,1632414999,,,20210923155902,cur
aU00vJ-imBg,,,,,,,,,,,1632415003,,,20210923155902,cur
0LYMWDIIZCE,,,,,,,,,,,1632415007,,,20210923155902,cur
21YJ7vQ3Ejs,,,,,,,,,,,1632416351,,,20210923165902,cur
4q3jYjzp034,,,,,,,,,,,1632416355,,,20210923165902,cur
1lTvu8Be8f8,,,,,,,,,,,1632416359,,,20210923165902,cur
cRt_w66H_e4,,,,,,,,,,,1632416362,,,20210923165902,cur
8rOJ8AN0ZVk,,,,,,,,,,,1632416380,,,20210923165902,cur
A5NAKrpPOWk,,,,,,,,,,,1632416397,,,20210923165902,cur
n5sjtL6-AmE,,,,,,,,,,,1632416400,,,20210923165902,cur
HMcbsAzA9DM,,,,,,,,,,,1632416404,,,20210923165902,cur
91zkITF2cMI,,,,,,,,,,,1632416407,,,20210923165902,cur
gFOFSUwzF1A,,,,,,,,,,,1632416439,,,20210923165902,cur
2jco3sgCjMw,,,,,,,,,,,1632416460,,,20210923165902,cur
4gqr2bzJjds,,,,,,,,,,,1632416463,,,20210923165902,cur
AvzohvOb03I,,,,,,,,,,,1632416467,,,20210923165902,cur
7wp6M1DLjJ4,,,,,,,,,,,1632416470,,,20210923165902,cur
aSSSZq2VobI,,,,,,,,,,,1632416474,,,20210923165902,cur
RBX63kCK2V4,,,,,,,,,,,1632416478,,,20210923165902,cur
4Xanem0f3pY,,,,,,,,,,,1632416482,,,20210923165902,cur
gAL9v-WrcSo,,,,,,,,,,,1632416494,,,20210923165902,cur
9uTFiya7i-w,,,,,,,,,,,1632416536,,,20210923165902,cur
7ikKFXbWMP0,,,,,,,,,,,1632434399,,,20210923215902,cur
BXiimMLMsAM,,,,,,,,,,,1632434431,,,20210923215902,cur
hT2dO3hM0RU,,,,,,,,,,,1632434434,,,20210923215902,cur
4drly87Y-vg,,,,,,,,,,,1632434438,,,20210923215902,cur
-MAv_X1mAG0,,,,,,,,,,,1632434441,,,20210923215902,cur
-tyhQTKVfkY,,,,,,,,,,,1632434480,,,20210923215902,cur
GgAVIF9CYuo,,,,,,,,,,,1632434508,,,20210923215902,cur
9NHj8cYE_AM,,,,,,,,,,,1632434524,,,20210923215902,cur
b9xbC2CpW3o,,,,,,,,,,,1632434527,,,20210923215902,cur
v036BBaxXe0,,,,,,,,,,,1632434596,,,20210923215902,cur
JpAH1PiBZJQ,,,,,,,,,,,1632434612,,,20210923215902,cur
BXtOwo3rmrQ,,,,,,,,,,,1632434615,,,20210923215902,cur
BWt5vJsUOko,,,,,,,,,,,1632434657,,,20210923215902,cur
Lvf3UmSv7hQ,,,,,,,,,,,1632434660,,,20210923215902,cur
LzbswYMrwP0,,,,,,,,,,,1632434690,,,20210923215902,cur
AiElyTaYyh0,,,,,,,,,,,1632434710,,,20210923215902,cur
881ZJtFWphA,,,,,,,,,,,1632434714,,,20210923215902,cur
